Year,Race,No,Driver,Car,Pos (race),Points,Pos (qualifying),AvgAirTemp,AvgHumidity,AvgPressure,TotalRainfall,AvgTrackTemp,AvgWindDirection,AvgWindSpeed,Name
2022,Monaco,4,1.6,1.9,6,9,5,22.27,75.67,1002.99,107,31.04,206.38,0.99,Lando Norris NOR
2022,Monaco,11,1.3,1.8,1,25,3,22.27,75.67,1002.99,107,31.04,206.38,0.99,Sergio Perez PER
2022,Monaco,55,1.6,1.6,2,18,2,22.27,75.67,1002.99,107,31.04,206.38,0.99,Carlos Sainz SAI
2022,Monaco,1,2.1,1.8,3,15,4,22.27,75.67,1002.99,107,31.04,206.38,0.99,Max Verstappen VER
2022,Monaco,44,2.2,1.9,8,4,8,22.27,75.67,1002.99,107,31.04,206.38,0.99,Lewis Hamilton HAM
2022,Azerbaijan,23,1.2,1.9,12,0,17,25.44,59.49,1009.9,0,47.15,266.29,1.53,Alexander Albon ALB
2022,Azerbaijan,22,1.0,1.0,13,0,8,25.44,59.49,1009.9,0,47.15,266.29,1.53,Yuki Tsunoda TSU
2022,Azerbaijan,1,2.1,1.8,1,25,3,25.44,59.49,1009.9,0,47.15,266.29,1.53,Max Verstappen VER
2022,Azerbaijan,18,1.0,1.9,16,0,19,25.44,59.49,1009.9,0,47.15,266.29,1.53,Lance Stroll STR
2022,Azerbaijan,20,1.0,1.6,17,0,16,25.44,59.49,1009.9,0,47.15,266.29,1.53,Kevin Magnussen MAG
2022,Azerbaijan,24,0.9,1.6,17,0,14,25.44,59.49,1009.9,0,47.15,266.29,1.53,Zhou Guanyu ZHO
2022,Azerbaijan,16,1.7,1.6,17,0,1,25.44,59.49,1009.9,0,47.15,266.29,1.53,Charles Leclerc LEC
2022,Azerbaijan,55,1.6,1.6,17,0,4,25.44,59.49,1009.9,0,47.15,266.29,1.53,Carlos Sainz SAI
2022,Azerbaijan,77,1.5,1.6,11,0,15,25.44,59.49,1009.9,0,47.15,266.29,1.53,Valtteri Bottas BOT
2022,Azerbaijan,31,1.4,1.2,10,1,13,25.44,59.49,1009.9,0,47.15,266.29,1.53,Esteban Ocon OCO
2022,Azerbaijan,4,1.6,1.9,9,2,11,25.44,59.49,1009.9,0,47.15,266.29,1.53,Lando Norris NOR
2022,Azerbaijan,3,1.0,1.9,8,4,12,25.44,59.49,1009.9,0,47.15,266.29,1.53,Daniel Ricciardo RIC
2022,Azerbaijan,14,1.2,1.2,7,6,10,25.44,59.49,1009.9,0,47.15,266.29,1.53,Fernando Alonso ALO
2022,Azerbaijan,10,1.4,1.0,5,10,6,25.44,59.49,1009.9,0,47.15,266.29,1.53,Pierre Gasly GAS
2022,Azerbaijan,11,1.3,1.8,2,19,2,25.44,59.49,1009.9,0,47.15,266.29,1.53,Sergio Perez PER
2022,Azerbaijan,63,1.8,1.9,3,15,5,25.44,59.49,1009.9,0,47.15,266.29,1.53,George Russell RUS
2022,Azerbaijan,44,2.2,1.9,4,12,7,25.44,59.49,1009.9,0,47.15,266.29,1.53,Lewis Hamilton HAM
2022,Canada,1,2.1,1.8,1,25,1,20.76,28.93,1012.4,0,41.26,141.24,3.55,Max Verstappen VER
2022,Canada,3,1.0,1.9,11,0,9,20.76,28.93,1012.4,0,41.26,141.24,3.55,Daniel Ricciardo RIC
2022,Canada,44,2.2,1.9,3,15,4,20.76,28.93,1012.4,0,41.26,141.24,3.55,Lewis Hamilton HAM
2022,Canada,63,1.8,1.9,4,12,8,20.76,28.93,1012.4,0,41.26,141.24,3.55,George Russell RUS
2022,Canada,16,1.7,1.6,5,10,15,20.76,28.93,1012.4,0,41.26,141.24,3.55,Charles Leclerc LEC
2022,Canada,31,1.4,1.2,6,8,7,20.76,28.93,1012.4,0,41.26,141.24,3.55,Esteban Ocon OCO
2022,Canada,77,1.5,1.6,7,6,11,20.76,28.93,1012.4,0,41.26,141.24,3.55,Valtteri Bottas BOT
2022,Canada,24,0.9,1.6,8,4,10,20.76,28.93,1012.4,0,41.26,141.24,3.55,Zhou Guanyu ZHO
2022,Canada,55,1.6,1.6,2,19,3,20.76,28.93,1012.4,0,41.26,141.24,3.55,Carlos Sainz SAI
2022,Canada,18,1.0,1.9,10,1,18,20.76,28.93,1012.4,0,41.26,141.24,3.55,Lance Stroll STR
2022,Canada,11,1.3,1.8,18,0,13,20.76,28.93,1012.4,0,41.26,141.24,3.55,Sergio Perez PER
2022,Canada,22,1.0,1.0,18,0,20,20.76,28.93,1012.4,0,41.26,141.24,3.55,Yuki Tsunoda TSU
2022,Canada,20,1.0,1.6,17,0,5,20.76,28.93,1012.4,0,41.26,141.24,3.55,Kevin Magnussen MAG
2022,Canada,4,1.6,1.9,15,0,14,20.76,28.93,1012.4,0,41.26,141.24,3.55,Lando Norris NOR
2022,Canada,10,1.4,1.0,14,0,16,20.76,28.93,1012.4,0,41.26,141.24,3.55,Pierre Gasly GAS
2022,Canada,23,1.2,1.9,13,0,12,20.76,28.93,1012.4,0,41.26,141.24,3.55,Alexander Albon ALB
2022,Canada,14,1.2,1.2,9,2,2,20.76,28.93,1012.4,0,41.26,141.24,3.55,Fernando Alonso ALO
2022,Great Britain,20,1.0,1.6,10,1,17,18.25,59.75,1002.36,9,30.03,160.49,1.46,Kevin Magnussen MAG
2022,Great Britain,18,1.0,1.9,11,0,20,18.25,59.75,1002.36,9,30.03,160.49,1.46,Lance Stroll STR
2022,Great Britain,3,1.0,1.9,13,0,14,18.25,59.75,1002.36,9,30.03,160.49,1.46,Daniel Ricciardo RIC
2022,Great Britain,24,0.9,1.6,15,0,9,18.25,59.75,1002.36,9,30.03,160.49,1.46,Zhou Guanyu ZHO
2022,Great Britain,31,1.4,1.2,15,0,15,18.25,59.75,1002.36,9,30.03,160.49,1.46,Esteban Ocon OCO
2022,Great Britain,10,1.4,1.0,15,0,11,18.25,59.75,1002.36,9,30.03,160.49,1.46,Pierre Gasly GAS
2022,Great Britain,77,1.5,1.6,15,0,12,18.25,59.75,1002.36,9,30.03,160.49,1.46,Valtteri Bottas BOT
2022,Great Britain,63,1.8,1.9,15,0,8,18.25,59.75,1002.36,9,30.03,160.49,1.46,George Russell RUS
2022,Great Britain,23,1.2,1.9,15,0,16,18.25,59.75,1002.36,9,30.03,160.49,1.46,Alexander Albon ALB
2022,Great Britain,22,1.0,1.0,14,0,13,18.25,59.75,1002.36,9,30.03,160.49,1.46,Yuki Tsunoda TSU
2022,Great Britain,1,2.1,1.8,7,6,2,18.25,59.75,1002.36,9,30.03,160.49,1.46,Max Verstappen VER
2022,Great Britain,4,1.6,1.9,6,8,6,18.25,59.75,1002.36,9,30.03,160.49,1.46,Lando Norris NOR
2022,Great Britain,14,1.2,1.2,5,10,7,18.25,59.75,1002.36,9,30.03,160.49,1.46,Fernando Alonso ALO
2022,Great Britain,16,1.7,1.6,4,12,3,18.25,59.75,1002.36,9,30.03,160.49,1.46,Charles Leclerc LEC
2022,Great Britain,44,2.2,1.9,3,16,5,18.25,59.75,1002.36,9,30.03,160.49,1.46,Lewis Hamilton HAM
2022,Great Britain,11,1.3,1.8,2,18,4,18.25,59.75,1002.36,9,30.03,160.49,1.46,Sergio Perez PER
2022,Great Britain,55,1.6,1.6,1,25,1,18.25,59.75,1002.36,9,30.03,160.49,1.46,Carlos Sainz SAI
2022,Austria,20,1.0,1.6,8,4,6,20.26,35.14,939.71,0,30.75,165.43,1.26,Kevin Magnussen MAG
2022,Austria,31,1.4,1.2,5,10,5,20.26,35.14,939.71,0,30.75,165.43,1.26,Esteban Ocon OCO
2022,Austria,63,1.8,1.9,4,12,4,20.26,35.14,939.71,0,30.75,165.43,1.26,George Russell RUS
2022,Austria,44,2.2,1.9,3,15,9,20.26,35.14,939.71,0,30.75,165.43,1.26,Lewis Hamilton HAM
2022,Austria,1,2.1,1.8,2,19,1,20.26,35.14,939.71,0,30.75,165.43,1.26,Max Verstappen VER
2022,Austria,16,1.7,1.6,1,25,2,20.26,35.14,939.71,0,30.75,165.43,1.26,Charles Leclerc LEC
2022,Austria,77,1.5,1.6,11,0,12,20.26,35.14,939.71,0,30.75,165.43,1.26,Valtteri Bottas BOT
2022,Austria,24,0.9,1.6,14,0,18,20.26,35.14,939.71,0,30.75,165.43,1.26,Zhou Guanyu ZHO
2022,Austria,18,1.0,1.9,13,0,17,20.26,35.14,939.71,0,30.75,165.43,1.26,Lance Stroll STR
2022,Austria,3,1.0,1.9,9,2,16,20.26,35.14,939.71,0,30.75,165.43,1.26,Daniel Ricciardo RIC
2022,Austria,10,1.4,1.0,15,0,10,20.26,35.14,939.71,0,30.75,165.43,1.26,Pierre Gasly GAS
2022,Austria,22,1.0,1.0,16,0,14,20.26,35.14,939.71,0,30.75,165.43,1.26,Yuki Tsunoda TSU
2022,Austria,55,1.6,1.6,18,0,3,20.26,35.14,939.71,0,30.75,165.43,1.26,Carlos Sainz SAI
2022,Austria,11,1.3,1.8,18,0,13,20.26,35.14,939.71,0,30.75,165.43,1.26,Sergio Perez PER
2022,Austria,23,1.2,1.9,12,0,11,20.26,35.14,939.71,0,30.75,165.43,1.26,Alexander Albon ALB
2022,Austria,14,1.2,1.2,10,1,8,20.26,35.14,939.71,0,30.75,165.43,1.26,Fernando Alonso ALO
